Title,Organism,Type,Platform,Samples,Accession,FTP,Processing,Samples
Identification of differentially expressed genes between control and miR-371~373 cluster-overexpressing colorectal cancer cells,Homo sapiens,Expression profiling by array,GPL16686 12 Samples,12,"GSE102001	ID: 200102001",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102001/,,
Identification of differentially expressed miRNAs between SW480 and SW620 spheroid cultures,synthetic construct; Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL16686 GPL19117 12 Samples,12,"GSE89524	ID: 200089524",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89524/,,
Gene expression signature of colorectal cancer patients,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL18180 12 Samples,12,"GSE110715	ID: 200110715",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110715/,,
Global lncRNA/mRNA expression analysis of colorectal tumor and non-tumor samples from 6 colorectal cancer patients,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL16956 12 Samples,12,"GSE109454	ID: 200109454",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109454/,,
Effects of altered expression and activity levels of casein kinase 1δ and ε on tumor growth and survival of colorectal cancer patients,Homo sapiens,Expression profiling by array,GPL6244 12 Samples,12,"GSE57840	ID: 200057840",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57840/,,
Inhibition of Akt Signaling in PIK3R2 Overexpressing Colon Cancer Stem Cells Reduces Tumor Growth due Apoptosis and Decreased Mucin Production,Homo sapiens,Expression profiling by array,GPL570 12 Samples,12,"GSE70915	ID: 200070915","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70915/",,
Gene expression in HCQ-S and HCQ-R cells,Homo sapiens,Expression profiling by array,GPL6244 12 Samples,12,"GSE89288	ID: 200089288","GEO (CEL, XLS, XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89288/",,
Medullary Carcinoma of the colon,Homo sapiens,Expression profiling by array,GPL17586 12 Samples,12,"GSE76855	ID: 200076855",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76855/,,
Tailoring heated intra-peritoneal Mitomycin C for peritoneal metastases originating from colorectal carcinoma –  A translational approach to improve survival,Homo sapiens,Expression profiling by array,GPL4133 12 Samples,12,"GSE50494	ID: 200050494",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50494/,,
Genome-wide analysis of colorectal cancer,Homo sapiens,Expression profiling by array,GPL10558 12 Samples,12,"GSE54986	ID: 200054986",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54986/,,
Gene expression following treatment with HDAC6 inhibitor C1A,Homo sapiens,Expression profiling by array,GPL13667 12 Samples,12,"GSE64662	ID: 200064662","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64662/",,
Comparison of gene expression profiles between the CD110+ tumor initiating cells from primary colorectal tumors and their liver metastases.,Homo sapiens,Expression profiling by array,GPL10558 12 Samples,12,"GSE64595	ID: 200064595","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64595/",,
"Transcription profile of colon biopsies from normal (NOR) donors, patients, underwent resection for CRC (M-CRC) and patients carriers of mutations predisposed to HNPCC (HNPC)",Homo sapiens,Expression profiling by array,GPL6883 12 Samples,12,"GSE23011	ID: 200023011",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23011/,,
Gene expression in colon cancer stem cells (CSC) cultures identified by Wnt signaling levels,Homo sapiens,Expression profiling by array,GPL570 12 Samples,12,"GSE33112	ID: 200033112",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33112/,,
Non-Classical Functions of Human Topoisomerase I: Genome-wide and Pharmacological Analyses,Homo sapiens,Expression profiling by array,GPL570 12 Samples,12,"GSE7161	ID: 200007161",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7161/,,
FBXW4 acts as a protector of FOLFOX-based Chemotherapy in Metastatic Colorectal Cancer Identified by Co-expression network analysis,Homo sapiens,Expression profiling by array,GPL21827 11 Samples,11,"GSE138912	ID: 200138912",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138912/,,
Hypoxic microenvironment activates GLI2 through synergistic action of TGF-β2 and HIF-1α to confer chemoresistance and poor clinical outcome in colorectal cancer,Homo sapiens,Expression profiling by array,GPL10558 11 Samples,11,"GSE93255	ID: 200093255",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93255/,,
Colorectal cancer classification based on gene expression is not associated with FOLFIRI response,Homo sapiens,Expression profiling by array,GPL570 11 Samples,11,"GSE54483	ID: 200054483",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54483/,,
Identification of GABRA1 and LAMA2 as new DNA methylation markers in colorectal cancer,Homo sapiens,Expression profiling by array,GPL9827 11 Samples,11,"GSE26799	ID: 200026799",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26799/,,
Exon array data for patient-matched primary and metastatic colorectal samples,Homo sapiens,Expression profiling by array,GPL5175 10 Samples,10,"GSE90814	ID: 200090814",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90814/,,
Bioenergetic Alterations in Colorectal Polyp and Cancer,Homo sapiens,Expression profiling by array,GPL16686 10 Samples,10,"GSE81804	ID: 200081804",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81804/,,
Selective Akt inhibition by MK-2206 eleminates colorectal cancer-initiating stem cells,Homo sapiens,Expression profiling by array,GPL5175 10 Samples,10,"GSE70018	ID: 200070018",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70018/,,
Foxp3 is a key downstream regulator of p53-mediated cellular senescence,Homo sapiens; Mus musculus,Expression profiling by array,GPL18752 GPL11202 GPL10904 10 Samples,10,"GSE71980	ID: 200071980","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71980/",,
Disruption of FAT10-MAD2 binding inhibits tumor progression,Homo sapiens,Expression profiling by array,GPL10558 10 Samples,10,"GSE54167	ID: 200054167",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54167/,,
Expression data from TOP-GFP sorted colon cancer cells,Homo sapiens,Expression profiling by array,GPL571 10 Samples,10,"GSE32408	ID: 200032408","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32408/",,
Prognostic Significance and Gene Expression Profiles of p53 Mutations in Microsatellite Stable Stage III Colorectal Adenocarcinoma,Homo sapiens,Expression profiling by array,GPL570 10 Samples,10,"GSE27157	ID: 200027157",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27157/,,
Indirect expression microarray from 5 pairs of tissues from colorectal cancer patients,Homo sapiens,Expression profiling by array,GPL9827 10 Samples,10,"GSE19659	ID: 200019659",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19659/,,
ChIP-chip from HCT116 cells treated with MMS and LNCaP cells with ATF3,Homo sapiens,Genome binding/occupancy profiling by genome tiling array; Expression profiling by array,GPL9448 GPL4133 10 Samples,10,"GSE18457	ID: 200018457","GEO (BAR, BED, GFF, PAIR, PDF, TXT, XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18457/",,
Endogenous expression profiles of HCT116 colorectal cancer cells and HCT116-derived ATF2 knockout (KO) clones [Version 02],Homo sapiens,Expression profiling by array,GPL26599 9 Samples,9,"GSE172488	ID: 200172488","GEO (RCC, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE172nnn/GSE172488/",,
Expression data from cancer stem cells derived from colorectal organoids,Homo sapiens,Expression profiling by array,GPL16686 9 Samples,9,"GSE185012	ID: 200185012","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185012/",,
FGF Signaling in the Self-Renewal of Colon Cancer Organoids,Homo sapiens,Expression profiling by array,GPL16043 9 Samples,9,"GSE118949	ID: 200118949",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118949/,,
Expression data from human non-affected and cancerous colon,Homo sapiens,Expression profiling by array,GPL23126 9 Samples,9,"GSE145626	ID: 200145626","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145626/",,
Comparison of endogenous gene expression of HCT116 colorectal cancer cells and HCT116-derived DAPK1 knockout (ko) clones.,Homo sapiens,Expression profiling by array; Other,GPL26599 9 Samples,9,"GSE130488	ID: 200130488","GEO (RCC, XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130488/",,
Identification of aging-associated gene expression signatures that precede intestinal tumorigenesis [human],Homo sapiens,Expression profiling by array,GPL6244 9 Samples,9,"GSE80981	ID: 200080981","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80981/",,
The antidepressant fluoxetine elicits anticancer effects by impairing aerobic glycolysis in colon cancer cells and xenografts.,Homo sapiens,Expression profiling by array,GPL15207 9 Samples,9,"GSE51904	ID: 200051904",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51904/,,
Expression data for HT29 cells treated with 5-aza-deoxy-cytidine [Affymetrix],Homo sapiens,Expression profiling by array,GPL570 9 Samples,9,"GSE41364	ID: 200041364",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41364/,,
Molecular characterisation of circulating tumor cells in human metastatic colorectal cancer,Homo sapiens,Expression profiling by array,GPL13497 9 Samples,9,"GSE31023	ID: 200031023",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31023/,,
Expression data from xenograft tumors derived from LoVo colon cancer lines +/- constitutive LIN28B expression,Homo sapiens,Expression profiling by array,GPL6244 9 Samples,9,"GSE26335	ID: 200026335",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26335/,,
Genes altered by miR-766-5p in two cancer cell lines,Homo sapiens,Expression profiling by array,GPL17077 8 Samples,8,"GSE180688	ID: 200180688",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE180nnn/GSE180688/,,
Differentially expressed SE-lncRNAs and mRNA  in colorectal cancer,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL24592 8 Samples,8,"GSE151021	ID: 200151021",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151021/,,
Genome-wide lncRNA Expression Profiling in colon cancer patients.,Homo sapiens,Non-coding RNA profiling by array; Expression profiling by array,GPL21827 8 Samples,8,"GSE97300	ID: 200097300",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97300/,,
ZFAS1 promotes rRNA 2’O-methylationin by recruiting NOP58 contributes to colorectal cancer progression,Homo sapiens,Expression profiling by array,GPL17586 8 Samples,8,"GSE137511	ID: 200137511",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137511/,,
WNT activated cells are the origin of regrowth of colorectal cancer organoids after irradiation,Homo sapiens,Expression profiling by array,GPL20844 8 Samples,8,"GSE139995	ID: 200139995",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139995/,,
Gene expression profile Colorectal Tumor and Normal tissue samples,Homo sapiens,Expression profiling by array,GPL14550 8 Samples,8,"GSE75970	ID: 200075970","GEO (TXT, XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75970/",,
Alkylating pyrrole-imidazole polyamide KR12 binding in colorectal cancer genomes (LS180),Homo sapiens,Expression profiling by array,GPL16699 8 Samples,8,"GSE86597	ID: 200086597",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86597/,,
Gene expression profiles regulated by PLD1-E2F1 axis in two Wnt-relevant colon cancer cells,Homo sapiens,Expression profiling by array,GPL10558 8 Samples,8,"GSE55724	ID: 200055724",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55724/,,
Studying relative gene expression in primary and xenograft CRC samples,Homo sapiens,Expression profiling by array,GPL14550 8 Samples,8,"GSE63544	ID: 200063544",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63544/,,
Initiation of an inflammatory response in resident intestinal lamina propria cells -use of a human organ culture model,Homo sapiens,Expression profiling by array,GPL10558 8 Samples,8,"GSE56448	ID: 200056448",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56448/,,
Understanding molecular mechanisms of Cetuximab insensitivity in Colorectal Cancer (CRC),Homo sapiens,Expression profiling by array,GPL13607 8 Samples,8,"GSE56386	ID: 200056386",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56386/,,
Expression data for 4 colon tumor (Duke's stage II) /matching mucosa tissue pairs,Homo sapiens,Expression profiling by array,GPL16686 8 Samples,8,"GSE47074	ID: 200047074",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47074/,,
Exon Array Expression Profiling of HCT116 (p53null) cells transfected with wildtype p53 and 6 p53 mutants,Homo sapiens,Expression profiling by array,GPL5175 8 Samples,8,"GSE49046	ID: 200049046","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49046/",,
RHBDD2 silencing and gene expression profiling of breast cancer cells,Homo sapiens,Expression profiling by array,GPL13915 8 Samples,8,"GSE43015	ID: 200043015",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43015/,,
Evaluation of gene expression between CD44+ and CD44- cells in colonospheres,Homo sapiens,Expression profiling by array,GPL6480 8 Samples,8,"GSE38706	ID: 200038706",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38706/,,
Gene expression levels in colon cancer cells with mutant K-ras under hypoxic conditions,Homo sapiens,Expression profiling by array,GPL570 8 Samples,8,"GSE35973	ID: 200035973","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35973/",,
Comparison of gene expression profiles between paired primary and metastasis colorectal carcinoma,Homo sapiens,Expression profiling by array,GPL570 8 Samples,8,"GSE18462	ID: 200018462",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18462/,,
Targetting CD24 for treatment of colorectal and pancreatic cancer by monoclonal antibodies or siRNA,Homo sapiens,Expression profiling by array,GPL571 8 Samples,8,"GSE15102	ID: 200015102","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15102/",,
Hes1 is Associated with Long Non-Coding RNAs in Colorectal Cancer,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array; Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,GPL16956 GPL16791 7 Samples,7,"GSE134552	ID: 200134552","GEO (TXT, XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134552/",,
Hypoxic microenvironment activates GLI2 through synergistic action of TGF-β2 and HIF-1α to confer chemoresistance and poor clinical outcome in colorectal cancer [IlluminaExpr_1_CAF_NF],Homo sapiens,Expression profiling by array,GPL10558 7 Samples,7,"GSE93253	ID: 200093253",GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93253/,,
GSK-3alpha Promotes Oncogenic KRAS Function in Pancreatic Cancer via TAK1-TAB Stabilization and Regulation of Non-Canonical NF-kB,Homo sapiens,Expression profiling by array,GPL16309 7 Samples,7,"GSE42559	ID: 200042559",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42559/,,
Resistance to TFT by decreased TK or overexpression of sPLA2,Homo sapiens,Genome variation profiling by genome tiling array; Expression profiling by array,GPL2826 GPL5477 7 Samples,7,"GSE18137	ID: 200018137",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18137/,,
mRNA microarray analysis in colorectal cancer tissues,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL20115 6 Samples,6,"GSE212156	ID: 200212156",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE212nnn/GSE212156/,,
Expression data from ovarian cancer with CHSY1 knockdown,Homo sapiens,Expression profiling by array,GPL16043 6 Samples,6,"GSE232722	ID: 200232722",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE232nnn/GSE232722/,,
Gene expression profiling of human colorectal cancer cell lines KM12SM and SW620,Homo sapiens,Expression profiling by array,GPL23159 6 Samples,6,"GSE199223	ID: 200199223",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199223/,,
Profiles of mRNA and lncRNA expression in colorectal cancer,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL26963 6 Samples,6,"GSE156720	ID: 200156720",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156720/,,
RHAMM marks proliferative subpopulation within CD44+ human colorectal cancer stem cells,Homo sapiens,Expression profiling by array,GPL17077 6 Samples,6,"GSE137919	ID: 200137919",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137919/,,
Expression data from cultured cell line (Caco-2),Homo sapiens,Expression profiling by array,GPL23126 6 Samples,6,"GSE162325	ID: 200162325",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162325/,,
Simultaneous silencing of Aurora-A and UHRF1 inhibits colorectal cancer cell growth by regulating the expression of DNMT1 and STAT1,Homo sapiens,Expression profiling by array,GPL15207 6 Samples,6,"GSE160037	ID: 200160037","GEO (CEL, XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160037/",,
Long Non-coding RNA expression predictive of tumour response in patients treated with preoperative chemoradiotherapy for LARC,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL20115 6 Samples,6,"GSE145666	ID: 200145666",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145666/,,
Expression profiles of HCT116 colorectal cancer cells and HCT116-derived CDKN1A (p21) knockout (ko) cells.,Homo sapiens,Expression profiling by array,GPL26599 6 Samples,6,"GSE135923	ID: 200135923",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135923/,,
Identification of potential miR-215 target genes in patient-derived tumor-initiating cell (TIC) cultures,Homo sapiens,Expression profiling by array,GPL16686 6 Samples,6,"GSE120422	ID: 200120422","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120422/",,
Profiling microarray expression of mesenchymal stem cell genes differentially expressed by colorectal cancer cells,Homo sapiens,Expression profiling by array,GPL16686 6 Samples,6,"GSE136450	ID: 200136450",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136450/,,
CRC lncRNA/mRNA expression,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL16956 6 Samples,6,"GSE134525	ID: 200134525",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134525/,,
KH-type splicing regulatory protein controls colorectal cancer cell growth and modulates the tumor microenvironment,Homo sapiens,Expression profiling by array,GPL17586 6 Samples,6,"GSE112329	ID: 200112329",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112329/,,
Identification of differentially expressed genes between SW480 and SW620 spheroid cultures [mRNA],Homo sapiens,Expression profiling by array,GPL16686 6 Samples,6,"GSE89523	ID: 200089523",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89523/,,
Expression data from human colorectal cancer cell line LoVo,Homo sapiens,Expression profiling by array,GPL13497 6 Samples,6,"GSE108947	ID: 200108947",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108947/,,
Plasma Long Noncoding RNA and mRNA Expression Profile of Crohn’s Disease identified by Microarray,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL16956 6 Samples,6,"GSE75459	ID: 200075459",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75459/,,
Genome-wide analysis of long noncoding RNA expression profile in colorectal cancer,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL16956 6 Samples,6,"GSE90524	ID: 200090524",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90524/,,
Alkylating pyrrole-imidazole polyamide KR12 binding in colorectal cancer genomes (SW480),Homo sapiens,Expression profiling by array,GPL16699 6 Samples,6,"GSE86598	ID: 200086598",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86598/,,
Carcinoma of the colon and rectum with deregulation of insulin-like growth factor 2 signaling: clinical and molecular implications,Homo sapiens,Expression profiling by array,GPL15034 6 Samples,6,"GSE66726	ID: 200066726",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66726/,,
Transcriptome profiling of SW480 cells treated or untreated with Floxuridine (FUdR),Homo sapiens,Expression profiling by array,GPL10558 6 Samples,6,"GSE77533	ID: 200077533",GEO (IDAT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77533/,,
Expression data from Huh-7 cells,Homo sapiens,Expression profiling by array,GPL15207 6 Samples,6,"GSE79489	ID: 200079489",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79489/,,
SPINK1 promotes Colorectal Cancer progression by down regulating Metallothioneins expression,Homo sapiens,Expression profiling by array,GPL6480 6 Samples,6,"GSE70761	ID: 200070761",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70761/,,
Functional heterogeneity of cancer-associated fibroblasts from human colon tumors shows specific prognostic gene expression signature,Homo sapiens,Expression profiling by array,GPL6244 6 Samples,6,"GSE51257	ID: 200051257",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51257/,,
Gene expression alterations in human colon cancer xenograft treated with anti-VEGF antibody,Homo sapiens,Expression profiling by array,GPL6244 6 Samples,6,"GSE47087	ID: 200047087","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47087/",,
Expression data from  SW480 cells with Gankyrin knockdown,Homo sapiens,Expression profiling by array,GPL570 6 Samples,6,"GSE44029	ID: 200044029",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44029/,,
Expression data from human colonic biopsy samples,Homo sapiens,Expression profiling by array,GPL570 6 Samples,6,"GSE37267	ID: 200037267",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37267/,,
Tumor Microenvironment-induced BRD4 Activation Results in Chromatin Remodeling and Therapy Resistance in Colorectal Cancer,Homo sapiens,Expression profiling by array,GPL10558 5 Samples,5,"GSE160035	ID: 200160035",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160035/,,
Whole genome expression analysis of a skin biopsy from an individual with multi-organ epithelial inflammation associated with an inherited loss-of-function mutation in EGFR,Homo sapiens,Expression profiling by array,GPL10558 5 Samples,5,"GSE54162	ID: 200054162",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54162/,,
"Long-term in vitro expansion of epithelial organoids from human colon, adenoma, adenocarcinoma and Barrett's Esophagus",Homo sapiens,Expression profiling by array,GPL4133 5 Samples,5,"GSE28907	ID: 200028907",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28907/,,
Identification of an intermediate signature that marks the initial phases of colorectal adenoma-carcinoma transition,Homo sapiens,Expression profiling by array,GPL570 5 Samples,5,"GSE22242	ID: 200022242","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22242/",,
Induction of resistance to NTRK inhibitors via mevalonate pathway by HMGCS2,Homo sapiens,Expression profiling by array,GPL16686 4 Samples,4,"GSE225681	ID: 200225681",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE225nnn/GSE225681/,,
Gene expression profiles in colon cancer spheroids treated with a ROCK inhibitor,Homo sapiens,Expression profiling by array,GPL6480 4 Samples,4,"GSE117505	ID: 200117505",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117505/,,
"Construction of PYCARD-inducible system in two cancer cell lines, LNCaP (prostate cancer) and DLD1 (colorectal cancer)",Homo sapiens,Expression profiling by array,GPL10332 4 Samples,4,"GSE142283	ID: 200142283",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142283/,,
Expression data from RCM-1 human colorectal cancer cells treated with methylthioacetic acid,Homo sapiens,Expression profiling by array,GPL570 4 Samples,4,"GSE139279	ID: 200139279","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139279/",,
A cancer stem cell hierarchy based on differential ribosomal RNA and protein synthesis capacities [POLR1A],Homo sapiens,Expression profiling by array,GPL15207 4 Samples,4,"GSE125231	ID: 200125231",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125231/,,
Expression data from Knockdown of ILF3 in DLD1 cell line,Homo sapiens,Expression profiling by array,GPL570 4 Samples,4,"GSE115200	ID: 200115200",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115200/,,
Hypoxic microenvironment activates GLI2 through synergistic action of TGF-β2 and HIF-1α to confer chemoresistance and poor clinical outcome in colorectal cancer [IlluminaExpr_2_CAF_SF_SD208],Homo sapiens,Expression profiling by array,GPL10558 4 Samples,4,"GSE93254	ID: 200093254",GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93254/,,
Expression data from tumor samples treated with a tankyrase inhibitor in a mouse xenograft model,Homo sapiens,Expression profiling by array,GPL570 4 Samples,4,"GSE113965	ID: 200113965",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113965/,,
Microarray gene expression profiling in colorectal (HCT116) and hepatocellular (HepG2) carcinoma cells treated with Melicope ptelefolia leaf extract reveals transcriptome profiles exhibiting anticancer activity,Homo sapiens,Expression profiling by array,GPL16686 4 Samples,4,"GSE114743	ID: 200114743",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114743/,,
