Title,Organism,Type,Platform,Samples,Accession,FTP,Data Processing,Samples,
Single-cell and spatial multi-omics highlight effects of anti-integrin therapy across cellular compartments in ulcerative colitis [blood scRNA-seq],Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 4 Samples,4,"GSE250488	ID: 200250488","GEO (H5AD, MTX, RDS, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE250nnn/GSE250488/",,,
Drug repositioning of inflammatory bowel disease based on co-target gene expression signature of glucocorticoid receptor and TET2,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 4 Samples,4,"GSE250063	ID: 200250063",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE250nnn/GSE250063/,,,
Macrophage-Endothelial Cell Crosstalk Orchestrates Neutrophil Recruitment in Inflamed Mucosa scRNA-Seq,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 4 Samples,4,"GSE221987	ID: 200221987","GEO (MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221987/",,,
ISR8 / IRF1-AS1 is relevant for IFNα and NF-κB responses,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 4 Samples,4,"GSE205276	ID: 200205276",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205276/,,,
Pro- and anti-tumorigenic capacity of immunoproteasomes in shaping the tumor microenvironment,Homo sapiens,Expression profiling by array,GPL1708 4 Samples,4,"GSE150979	ID: 200150979",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150979/,,,
Genetic variants alter T-bet binding and gene expression in mucosal inflammatory disease,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,GPL18573 4 Samples,4,"GSE81881	ID: 200081881",GEO (BED) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81881/,,,
Analysis of Gene Expression changes in human intestinal endothelial-to-mesenchymal transition - TRANSFORMED GROUP ,Homo sapiens,Expression profiling by array,GPL6104 4 Samples,4,"GSE15934	ID: 200015934",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15934/,,,
Analysis of Gene Expression changes in human intestinal endothelial-to-mesenchymal transition - UNTREATED/CONTROL GROUP ,Homo sapiens,Expression profiling by array,GPL6104 4 Samples,4,"GSE15933	ID: 200015933",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15933/,,,
Caco-2 cells cocultured with E.coli Nissle 1917,Homo sapiens,Expression profiling by array,GPL96 4 Samples,4,"GSE2232	ID: 200002232",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE2nnn/GSE2232/,,,
Polydatin protects against DSS-induced ulcerative colitis via Nrf2/Slc7a11/Gpx4-dependent inhibition of ferroptosis signalling activation,Homo sapiens,Expression profiling by high throughput sequencing,GPL29480 3 Samples,3,"GSE285956	ID: 200285956",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285956/,,,
Establishment of an ulcerative colitis model using colon organoids derived from human induced pluripotent stem cells,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 2 Samples,2,"GSE244981	ID: 200244981","GEO (MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244981/",,,
"Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis [biopsy CITEseq]",Homo sapiens,Other,GPL24676 2 Samples,2,"GSE253719	ID: 200253719","GEO (H5AD, MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253719/",,,
Single-cell and spatial multi-omics highlight effects of anti-integrin therapy across cellular compartments in ulcerative colitis [biopsy CITE-seq],Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL24676 2 Samples,2,"GSE250490	ID: 200250490","GEO (H5AD, MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE250nnn/GSE250490/",,,
Single cell RNA-seq in small intestine ,Homo sapiens,Expression profiling by high throughput sequencing,GPL30209 2 Samples,2,"GSE210955	ID: 200210955","GEO (CSV, MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210955/",,,
Gene expression profiles in sigmoid colon biopsies from healthy and patients with ulcerative colitis,Homo sapiens,Expression profiling by array,GPL570 2 Samples,2,"GSE10791	ID: 200010791","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10791/",,low sample count,
Gene Expression Profiling of Ulcerative Colitis ,Homo sapiens,Expression profiling by array,GPL1352 2 Samples,2,"GSE3801	ID: 200003801",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3801/,,,
Single-cell transcriptomic profile of innate cell populations in mesenteric lymph nodes of inflammatory bowel disease patients,Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL24676 1 Sample,"Single-cell transcriptomic profile of innate cell populations in mesenteric lymph nodes of inflammatory bowel disease patients
(Submitter supplied) Innate immune cells, including dendritic cells (DCs), monocytes (Mono), macrophages (Mac), natural killer (NK) and innate lymphoid cells (ILC), contribute to chronic inflammation in lymphoid tissues. Here, we characterized the innate immune cell landscape in inflamed mesenteric lymph nodes (MLNs) of patients with inflammatory bowel diseases (IBD) at the single-cell level. CITE-seq analysis unveiled the molecular signature of 11 Mono/Mac/DC (MMDC) and 7 NK/ILC enriched clusters in human MLNs. more...
Organism:	Homo sapiens
Type:		Expression profiling by high throughput sequencing; Other
Platform: GPL24676 1 Sample
FTP download: GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE284nnn/GSE284775/
Series		Accession: GSE284775	ID: 200284775","GSE284775	ID: 200284775",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE284nnn/GSE284775/,,,
